Party,Won,Leading,Total
Telugu Desam - TDP,135,0,135
Janasena Party - JnP,21,0,21
Yuvajana Sramika Rythu Congress Party - YSRCP,11,0,11
Bharatiya Janata Party - BJP,8,0,8
Total,175,0,175
